Name,Market-Cap,Price-to-Earnings,Price-to-Book,Current-Ratio,Financial-Position,Uninterupted-Divs,Ten-year-growth,No-Earnings-Deficit
Gartner Inc,17.035B,66.18,15.96,0.79,false,N/A,true,true
General Dynamics,54.456B,17.29,N/A,N/A,N/A,false,true,false
General Electric,115.176B,N/A,3.43,1.96,false,false,false,false
General Mills,37.123B,14.78,4.19,0.69,false,true,true,true
General Motors,82.449B,13.21,1.78,1.01,false,false,true,false
Genuine Parts,18.055B,342.38,5.43,1.21,false,true,false,false
Gilead Sciences,79.913B,647.65,4.37,1.40,N/A,false,true,true
Global Payments Inc.,63.335B,110.07,2.34,1.01,false,false,true,true
Globe Life Inc.,11.883B,15.01,1.52,N/A,false,N/A,true,true
Goldman Sachs Group,118.548B,8.65,1.40,2.43,N/A,false,true,true
Grainger (W.W.) Inc.,22.692B,30.77,10.90,2.57,true,true,true,true
Halliburton Co.,17.403B,N/A,3.36,2.25,false,false,false,false
Hanesbrands Inc,7.35B,N/A,9.02,1.62,false,false,true,false
Hartford Financial Svc.Gp.,23.56B,14.07,1.36,2.06,false,false,true,false
Hasbro Inc.,13.681B,33.53,4.69,1.85,false,false,false,true
HCA Healthcare,67.745B,15.02,279.64,1.39,false,false,true,true
Healthpeak Properties,18.505B,N/A,N/A,3.28,false,false,false,false
Henry Schein,10.314B,25.74,3.08,1.66,N/A,N/A,true,true
Hess Corporation,22.98B,N/A,4.08,2.08,false,true,false,false
Hewlett Packard Enterprise,20.844B,N/A,1.29,0.90,false,false,true,false
Hilton Worldwide Holdings Inc,35.846B,N/A,N/A,1.73,false,N/A,true,false
HollyFrontier Corp,5.685B,N/A,1.09,2.41,N/A,false,false,false
Hologic,16.796B,9.00,4.43,2.57,N/A,false,true,false
Home Depot,348.016B,27.11,105.67,1.23,false,false,true,true
Honeywell Int'l Inc.,154.914B,34.15,8.61,1.42,false,false,true,true
Hormel Foods Corp.,24.955B,28.52,3.81,2.54,true,true,true,true
Host Hotels & Resorts,12.809B,N/A,2.03,34.03,false,N/A,true,false
Howmet Aerospace,13.873B,N/A,N/A,2.21,false,N/A,false,false
HP Inc.,42.522B,14.50,N/A,0.73,N/A,true,true,false
Humana Inc.,57.442B,15.82,4.05,1.67,false,false,true,true
Huntington Bancshares,15.597B,13.42,1.43,N/A,true,false,true,true
Huntington Ingalls Industries,8.556B,12.39,4.52,1.10,false,false,true,false
IDEX Corporation,17.024B,44.05,6.53,4.37,true,false,true,true
Idexx Laboratories,47.01B,81.82,74.22,1.82,false,false,true,true
IHS Markit,45.586B,80.64,4.93,0.95,false,N/A,true,true
Illinois Tool Works,72.936B,33.07,22.29,2.50,false,true,true,true
Illumina Inc,57.355B,91.79,11.65,4.45,true,N/A,true,true
Incyte,18.773B,N/A,7.18,3.74,true,N/A,true,false
Ingersoll Rand,20.691B,N/A,2.31,2.70,false,false,true,false
Intel Corp.,232.306B,12.91,2.91,1.89,false,true,true,true
Intercontinental Exchange,66.237B,31.44,3.32,1.00,false,false,true,true
International Business Machines,126.773B,23.73,5.93,0.93,false,true,false,true
International Flavors & Fragrances,35.379B,44.29,2.41,1.61,N/A,true,false,true
International Paper,22.784B,23.65,2.93,1.45,false,true,true,true
Interpublic Group,12.486B,28.63,4.34,0.97,false,false,true,true
Intuit Inc.,112.866B,62.90,12.73,1.53,true,false,true,true
Intuitive Surgical Inc.,102.427B,88.99,10.09,6.71,true,N/A,true,true
Invesco Ltd.,12.455B,17.66,0.86,N/A,false,false,false,true
IPG Photonics Corp.,11.645B,73.10,4.47,10.01,true,N/A,true,true
IQVIA Holdings Inc.,44.981B,111.76,7.55,1.15,false,N/A,false,true
Iron Mountain Incorporated,11.583B,33.74,10.17,0.64,N/A,false,false,false
J. B. Hunt Transport Services,18.039B,33.27,6.63,1.83,false,false,true,true
Jack Henry & Associates,12.388B,41.87,8.02,1.48,true,false,true,true
Jacobs Engineering Group,17.381B,N/A,N/A,1.66,false,N/A,true,true
JM Smucker,14.188B,15.58,1.75,0.82,false,false,true,true
Johnson & Johnson,428.421B,28.75,6.77,N/A,false,true,true,true
Johnson Controls International,44.783B,50.19,2.54,1.17,false,false,false,false
JPMorgan Chase & Co.,465.598B,12.20,1.87,N/A,false,true,true,true
Juniper Networks,8.305B,41.15,1.87,1.62,false,false,true,false
Kansas City Southern,26.572B,44.00,6.27,1.50,false,false,true,true
Kellogg Co.,21.245B,17.20,6.90,0.67,false,false,false,true
KeyCorp,21.163B,12.31,1.35,N/A,true,false,true,true
Keysight Technologies,26.848B,42.85,8.04,3.17,true,N/A,true,true
Kimberly-Clark,44.986B,19.99,86.91,0.77,false,false,false,true
Kimco Realty,9.102B,8.90,1.61,84.70,false,false,true,true
Kinder Morgan,38.611B,21.23,1.20,0.81,false,false,true,true
KLA Corporation,48.588B,26.48,15.57,2.66,false,false,true,true
Kraft Heinz Co,50.503B,93.42,1.00,1.74,false,false,false,false
Kroger Co.,27.478B,11.17,2.89,0.81,false,false,true,true
L Brands Inc.,18.379B,21.97,N/A,1.97,N/A,false,false,false
L3Harris Technologies,43.011B,28.46,2.02,2.38,false,false,true,true
Laboratory Corp. of America Holding,25.96B,9.89,2.59,1.67,false,N/A,true,true
Lam Research,88.488B,26.23,16.47,3.13,true,false,true,true
Lamb Weston Holdings Inc,11.776B,47.08,26.07,2.98,false,N/A,true,false
Las Vegas Sands,46.8B,N/A,17.51,2.28,false,false,false,false
Leggett & Platt,6.614B,27.29,4.74,1.60,false,false,true,true
Leidos Holdings,14.251B,23.23,3.72,1.15,false,N/A,false,false
Lennar Corp.,31.6B,10.59,1.72,13.17,false,false,true,true
Lilly (Eli) & Co.,175.275B,27.36,29.37,N/A,false,true,true,false
Lincoln National,12.258B,25.05,0.54,2.88,N/A,false,true,true
Linde plc,149.447B,60.71,3.16,0.80,false,false,true,true
Live Nation Entertainment,17.906B,N/A,N/A,0.96,false,N/A,false,false
LKQ Corporation,14.126B,18.74,2.42,1.83,false,N/A,true,true
Lockheed Martin Corp.,105.771B,15.36,16.76,1.38,false,false,true,true
Loews Corp.,14.71B,N/A,0.84,0.47,false,N/A,false,false
Lowe's Cos.,140.746B,25.32,99.82,1.19,N/A,true,true,true
Lumen Technologies,14.073B,N/A,N/A,0.48,false,false,false,false
LyondellBasell,34.682B,24.45,4.35,2.12,false,false,false,true
M&T Bank,20.286B,13.90,1.34,N/A,true,false,true,true
Marathon Oil Corp.,8.876B,N/A,0.84,1.33,false,false,false,false
Marathon Petroleum,36.282B,N/A,1.63,1.81,false,false,false,false
MarketAxess,18.831B,61.06,18.78,6.90,true,false,true,true
Marriott International,48.352B,N/A,112.01,0.49,false,false,true,false
Marsh & McLennan,69.15B,31.02,7.32,1.23,false,false,true,true
Martin Marietta Materials,22.021B,30.60,3.73,3.34,N/A,N/A,true,true
Masco Corp.,16.212B,21.36,N/A,1.83,false,N/A,true,false
Mastercard Inc.,379.524B,58.62,59.90,1.43,false,false,true,true
Maxim Integrated Products,25.226B,32.50,11.74,5.38,N/A,false,true,true
McCormick & Co.,24.137B,31.83,5.82,0.81,false,false,true,true
McDonald's Corp.,175.49B,34.26,N/A,N/A,false,false,true,true
McKesson Corp.,29.853B,N/A,N/A,1.01,false,false,false,true
Medtronic plc,176.489B,57.95,3.48,2.10,N/A,N/A,false,true
MetLife Inc.,55.836B,11.20,0.76,1.07,false,false,true,true
Mettler Toledo,30.628B,52.72,109.05,1.26,false,N/A,true,true
MGM Resorts International,20.029B,N/A,3.18,3.86,false,false,true,false
Microchip Technology,40.467B,119.47,7.64,0.85,false,false,false,true
Micron Technology,96.521B,30.61,2.37,3.18,true,false,true,false
Microsoft Corp.,1.899T,34.37,14.13,2.29,true,false,true,true
Mid-America Apartments,18B,68.88,3.10,0.05,false,true,true,true
Mohawk Industries,14.344B,4.12,1.70,1.85,N/A,N/A,true,true
Molson Coors Beverage Company,11.922B,N/A,0.95,0.66,false,false,false,false
Mondelez International,85.42B,23.03,3.15,0.61,N/A,false,false,true
Monolithic Power Systems,16.93B,103.25,16.92,5.73,true,N/A,true,true
